source,target,type
MS1.2,http://www.dil.ie/3902,word
MS1.2,http://www.dil.ie/7528,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/17096,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/17098,word
MS1.3,http://www.dil.ie/24329,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/17096,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/17096,word
MS1.3,http://www.dil.ie/28194,word
MS1.3,http://www.dil.ie/3,word
MS1.3,http://www.dil.ie/17096,word
MS1.3,http://www.dil.ie/26891,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.3,http://www.dil.ie/33484,word
MS1.4,http://www.dil.ie/17098,word
MS1.4,http://www.dil.ie/33484,word
MS1.4,http://www.dil.ie/26891,word
MS1.4,http://www.dil.ie/28194,word
MS1.4,http://www.dil.ie/17096,word
MS1.4,http://www.dil.ie/33484,word
MS1.4,http://www.dil.ie/17096,word
MS1.4,http://www.dil.ie/33484,word
MS1.4,http://www.dil.ie/33484,word
MS1.4,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/17098,word
MS1.5,http://www.dil.ie/17096,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/17096,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/17096,word
MS1.5,http://www.dil.ie/26891,word
MS1.5,http://www.dil.ie/9786,word
MS1.5,http://www.dil.ie/6579,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/26891,word
MS1.5,http://www.dil.ie/3,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/17098,word
MS1.5,http://www.dil.ie/17098,word
MS1.5,http://www.dil.ie/17096,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/17096,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/17096,word
MS1.5,http://www.dil.ie/28194,word
MS1.5,http://www.dil.ie/26891,word
MS1.5,http://www.dil.ie/8622,word
MS1.5,http://www.dil.ie/28194,word
MS1.5,http://www.dil.ie/29104,word
MS1.5,http://www.dil.ie/9786,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/26891,word
MS1.5,http://www.dil.ie/9786,word
MS1.5,http://www.dil.ie/6579,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/3,word
MS1.5,http://www.dil.ie/3902,word
MS1.5,http://www.dil.ie/7528,word
MS1.5,http://www.dil.ie/3902,word
MS1.5,http://www.dil.ie/3,word
MS1.5,http://www.dil.ie/9786,word
MS1.5,http://www.dil.ie/6579,word
MS1.5,http://www.dil.ie/33484,word
MS1.5,http://www.dil.ie/3,word
MS1.5,http://www.dil.ie/3902,word
MS1.5,http://www.dil.ie/7528,word
MS1.5,http://www.dil.ie/24329,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/3,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/28194,word
MS1.6,http://www.dil.ie/24329,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/24329,word
MS1.6,http://www.dil.ie/24329,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/24329,word
MS1.6,http://www.dil.ie/28194,word
MS1.6,http://www.dil.ie/3902,word
MS1.6,http://www.dil.ie/3902,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/3902,word
MS1.6,http://www.dil.ie/3,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/33484,word
MS1.6,http://www.dil.ie/26891,word
MS1.6,http://www.dil.ie/26891,word
MS1.7,http://www.dil.ie/26891,word
MS1.7,http://www.dil.ie/17098,word
MS1.7,http://www.dil.ie/17096,word
MS1.8,http://www.dil.ie/7528,word
MS1.8,http://www.dil.ie/19139,word
MS1.8,http://www.dil.ie/26891,word
MS1.8,http://www.dil.ie/4927,word
MS1.8,http://www.dil.ie/3902,word
MS1.8,http://www.dil.ie/28194,word
MS1.8,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/32908,word
MS2.1,http://www.dil.ie/26891,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/8622,word
MS2.1,http://www.dil.ie/32909,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/32400,word
