source,target,type
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/38939,word
MS5.1,http://www.dil.ie/25995,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/38167,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/18427,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=35A4CB2B4150025A8AF74548E6B19010,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/25926,word
MS5.1,http://www.dil.ie/22781,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/6796,word
MS5.1,http://www.dil.ie/38191,word
MS5.1,http://www.dil.ie/38191,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/12406,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/33776,word
MS5.1,http://www.dil.ie/25565,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/1402,word
MS5.1,http://www.dil.ie/1400,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/9377,word
MS5.1,http://www.dil.ie/20655,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/13749,word
MS5.1,http://www.dil.ie/8622,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/29890,word
MS5.1,http://www.dil.ie/5512,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/15975,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/15848,word
MS5.1,http://www.dil.ie/18124,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/34169,word
MS5.1,http://www.dil.ie/34869,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/14812,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/24053,word
MS5.1,http://www.dil.ie/29104,word
MS5.1,http://www.dil.ie/31438,word
MS5.1,http://www.dil.ie/26897,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/31705,word
MS5.1,http://www.dil.ie/37068,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/2,word
MS5.1,http://www.dil.ie/5644,word
MS5.1,http://www.dil.ie/34869,word
MS5.1,http://www.dil.ie/10037,word
MS5.1,http://www.dil.ie/4459,word
MS5.1,http://www.dil.ie/20789,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/29507,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/6796,word
MS5.1,,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/12985,word
