source,target,type
MS1.1,http://www.dil.ie/3902,word
MS1.1,http://www.dil.ie/36336,word
MS1.1,http://www.dil.ie/24329,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/29252,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/1471,word
MS1.1,http://www.dil.ie/33364,word
MS1.1,http://www.dil.ie/39303,word
MS1.1,http://www.dil.ie/27644,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/8,word
MS1.2,http://www.dil.ie/12189,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/29104,word
MS1.2,http://www.dil.ie/19325,word
MS1.2,http://www.dil.ie/35364,word
MS1.2,http://www.dil.ie/29104,word
MS1.2,http://www.dil.ie/32580,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/35364,word
MS1.2,http://www.dil.ie/29104,word
MS1.2,http://www.dil.ie/41302,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/13717,word
MS1.2,http://www.dil.ie/32580,word
MS1.2,http://www.dil.ie/26891,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/13717,word
MS1.2,http://www.dil.ie/41302,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
