id,label,type,affiliation
http://www.dil.ie/3913,ara,headword,null
http://www.dil.ie/1402,ainimm,headword,null
http://www.dil.ie/42083,trúagán,headword,null
http://www.dil.ie/14069,-d`-,headword,null
http://www.dil.ie/36636,scríbaid,headword,null
http://www.dil.ie/1364,aingel,headword,null
http://www.dil.ie/16570,dín,headword,null
http://www.dil.ie/7832,caingen,headword,null
http://www.dil.ie/9397,clé,headword,null
http://www.dil.ie/247,ad-,headword,null
http://www.dil.ie/391,ad-cí,headword,null
http://www.dil.ie/36788,secht,headword,null
http://www.dil.ie/2515,aiste,headword,null
http://www.dil.ie/33925,ór,headword,null
http://www.dil.ie/37981,slóg,headword,null
http://www.dil.ie/32908,nach,headword,null
http://www.dil.ie/6052,blaisid,headword,null
http://www.dil.ie/5813,biad,headword,null
http://www.dil.ie/4000,archaingel,headword,null
http://www.dil.ie/31365,mainder,headword,null
http://www.dil.ie/9324,claideb,headword,null
http://www.dil.ie/10201,coimge,headword,null
http://www.dil.ie/34047,ós,headword,null
http://www.dil.ie/32400,mo,headword,null
http://www.dil.ie/37625,sinser,headword,null
http://www.dil.ie/32909,nach,headword,null
http://www.dil.ie/32253,millid,headword,null
http://www.dil.ie/31705,mé,headword,null
http://www.dil.ie/41608,tre,headword,null
http://www.dil.ie/36454,scíath,headword,null
http://www.dil.ie/36341,scáth,headword,null
http://www.dil.ie/9511,clith,headword,null
http://www.dil.ie/2,a,headword,null
http://www.dil.ie/16365,dil,headword,null
http://www.dil.ie/8966,cía,headword,null
http://www.dil.ie/5735,bert,headword,null
http://www.dil.ie/14232,daingen,headword,null
http://www.dil.ie/17068,dluigid,headword,null
http://www.dil.ie/12406,cor,headword,null
http://www.dil.ie/26118,glóir,headword,null
http://www.dil.ie/21294,fann,headword,null
http://www.dil.ie/34769,ráith,headword,null
http://www.dil.ie/21925,fíal,headword,null
http://www.dil.ie/6057,bláith,headword,null
http://www.dil.ie/5416,barr,headword,null
http://www.dil.ie/3048,ám,headword,null
http://www.dil.ie/25071,gád,headword,null
http://www.dil.ie/31160,-m-,headword,null
http://www.dil.ie/21846,fethid,headword,null
http://www.dil.ie/38847,sruith,headword,null
http://www.dil.ie/5318,bán,headword,null
http://www.dil.ie/33164,níam,headword,null
http://www.dil.ie/18592,drech,headword,null
