source,target,type,relationship
MS1.1,http://www.dil.ie/22333,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/22337,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/6796,directed,word
MS1.1,http://www.dil.ie/8965,directed,word
MS1.1,http://www.dil.ie/29104,directed,word
MS1.1,http://www.dil.ie/24329,directed,word
MS1.1,http://www.dil.ie/32901,directed,word
MS1.1,http://www.dil.ie/4927,directed,word
MS1.1,http://www.dil.ie/7199,directed,word
MS1.1,http://www.dil.ie/17788,directed,word
MS1.1,http://www.dil.ie/15536,directed,word
MS1.1,http://www.dil.ie/3902,directed,word
MS1.1,http://www.dil.ie/36336,directed,word
MS1.1,http://www.dil.ie/24329,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/29252,directed,word
MS1.1,http://www.dil.ie/29104,directed,word
MS1.1,http://www.dil.ie/1471,directed,word
MS1.1,http://www.dil.ie/33364,directed,word
MS1.1,http://www.dil.ie/39303,directed,word
MS1.1,http://www.dil.ie/27644,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/8,directed,word
MS1.2,http://www.dil.ie/12189,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/29104,directed,word
MS1.2,http://www.dil.ie/19325,directed,word
MS1.2,http://www.dil.ie/35364,directed,word
MS1.2,http://www.dil.ie/29104,directed,word
MS1.2,http://www.dil.ie/32580,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/35364,directed,word
MS1.2,http://www.dil.ie/29104,directed,word
MS1.2,http://www.dil.ie/41302,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
